timestamp,frame_number,left_ear,right_ear,avg_ear,left_eyebrow_height,right_eyebrow_height,mouth_aspect_ratio,nose_x,nose_y,head_tilt_angle,left_iris_x,right_iris_x,gaze_direction,face_area,lighting_quality,face_symmetry,concentration_raw,concentration_smoothed
2025-09-25 18:33:45,15,0.2429,0.2248,0.2338,189.96,170.96,0.0004,307.42,260.46,9.72,0.4075,0.5349,CENTER,5724,0.079,0.911,100.0,100
2025-09-25 18:33:45,30,0.2285,0.2371,0.2328,190.72,171.69,0.0006,307.97,261.37,9.52,0.4075,0.5372,CENTER,5670,0.079,0.914,100.0,100
2025-09-25 18:33:46,45,0.2469,0.2021,0.2245,190.74,171.62,0.0,307.51,261.2,9.55,0.4052,0.5345,CENTER,5724,0.078,0.902,100.0,100
2025-09-25 18:33:46,60,0.2296,0.2355,0.2326,190.35,170.58,0.0028,306.67,261.03,10.18,0.4076,0.5339,CENTER,5724,0.079,0.919,100.0,100
2025-09-25 18:33:47,75,0.2286,0.2378,0.2332,186.86,168.86,0.0001,307.21,258.71,9.12,0.4057,0.5377,CENTER,5775,0.104,0.928,100.0,100
2025-09-25 18:33:47,90,0.2556,0.2181,0.2369,174.28,160.48,0.0403,314.2,246.66,8.16,0.4218,0.5542,CENTER,5940,0.105,0.946,100.0,100
2025-09-25 18:33:48,105,0.18,0.0906,0.1353,149.38,145.54,0.0023,340.91,213.23,3.31,0.4576,0.585,CENTER,5893,0.106,0.867,98.97,99
2025-09-25 18:33:48,120,0.2521,0.2101,0.2311,142.83,140.35,0.004,311.55,202.0,1.13,0.4471,0.5619,CENTER,7178,0.107,0.754,100.0,99
2025-09-25 18:33:49,135,0.2693,0.2297,0.2495,143.5,135.2,0.0102,256.36,191.83,4.25,0.4048,0.5092,CENTER,8658,0.107,0.157,96.24,98
2025-09-25 18:33:49,150,0.3773,0.246,0.3116,145.84,132.07,0.0059,246.89,189.82,9.52,0.3982,0.4881,LEFT,8236,0.108,0.086,93.33,94
2025-09-25 18:33:50,165,0.3607,0.2456,0.3031,148.23,132.7,0.003,240.82,192.82,10.52,0.3867,0.4712,LEFT,7656,0.108,0.046,92.06,92
2025-09-25 18:33:50,180,0.4404,0.2254,0.3329,166.3,141.96,0.0025,192.89,215.56,16.57,0.3109,0.395,LEFT,7524,0.104,0.131,83.23,87
2025-09-25 18:33:51,195,0.4865,0.1772,0.3319,169.96,147.21,0.0036,183.15,224.17,15.83,0.2983,0.3784,LEFT,7752,0.103,0.177,83.23,83
2025-09-25 18:33:51,210,0.8853,0.2235,0.5544,174.5,156.32,0.045,199.22,221.83,10.43,0.3373,0.4081,LEFT,5016,0.11,0.356,84.24,83
2025-09-25 18:33:52,225,0.4286,0.2476,0.3381,180.95,156.71,0.0294,240.96,217.46,21.45,0.4075,0.4619,LEFT,3663,0.115,0.494,95.1,85
2025-09-25 18:33:52,240,0.4885,0.2836,0.386,184.29,161.51,0.0665,243.99,233.3,19.52,0.4076,0.478,LEFT,5355,0.116,0.356,97.31,95
2025-09-25 18:33:53,255,0.2612,0.2243,0.2428,171.81,151.41,0.004,299.01,216.08,12.36,0.4502,0.55,CENTER,5610,0.117,0.453,100.0,99
2025-09-25 18:33:53,270,0.221,0.5397,0.3803,151.8,173.3,0.0086,487.94,218.8,13.77,0.6646,0.74,RIGHT,1650,0.111,0.32,81.64,90
2025-09-25 18:33:54,285,0.2018,0.4226,0.3122,159.51,197.41,0.0389,488.79,251.29,28.12,0.6699,0.7468,RIGHT,2590,0.113,0.205,81.55,81
2025-09-25 18:33:54,300,0.2263,0.2791,0.2527,176.01,226.42,0.0147,492.53,252.23,34.27,0.6949,0.7532,RIGHT,1806,0.103,0.279,81.2,81
2025-09-25 18:33:55,330,0.1484,0.4286,0.2885,178.0,211.69,0.0003,471.55,251.96,31.75,0.6665,0.7232,RIGHT,1763,0.097,0.198,82.75,81
2025-09-25 18:33:56,345,0.2073,0.4286,0.3179,154.84,187.19,0.0035,434.07,227.4,25.15,0.5966,0.6839,RIGHT,1728,0.1,0.14,84.79,82
2025-09-25 18:33:56,360,0.2252,0.2356,0.2304,157.67,164.5,0.0011,377.14,224.7,3.73,0.5195,0.6386,RIGHT,4958,0.107,0.856,100.0,92
2025-09-25 18:33:57,375,0.2138,0.25,0.2319,162.66,161.63,0.003,373.0,233.38,2.32,0.5039,0.634,RIGHT,5159,0.107,0.839,100.0,100
2025-09-25 18:33:57,390,0.1943,0.243,0.2186,168.28,163.72,0.0069,373.94,235.0,4.27,0.5042,0.6347,RIGHT,5226,0.109,0.827,100.0,100
2025-09-25 18:33:58,405,0.2084,0.1358,0.1721,156.42,147.36,0.0033,362.99,209.12,6.2,0.4891,0.6077,CENTER,4992,0.11,0.799,93.21,95
2025-09-25 18:33:58,420,0.1978,0.215,0.2064,160.81,148.09,0.0044,365.64,218.98,9.13,0.4879,0.6114,CENTER,4880,0.11,0.725,100.0,98
2025-09-25 18:33:59,435,0.2154,0.2217,0.2185,159.3,146.86,0.004,365.41,216.82,8.7,0.486,0.6096,CENTER,4740,0.11,0.71,100.0,97
2025-09-25 18:33:59,450,0.1879,0.1937,0.1908,160.73,145.77,0.0038,361.69,216.41,10.13,0.4819,0.6029,CENTER,4860,0.108,0.726,94.46,98
2025-09-25 18:34:00,465,0.2017,0.1279,0.1648,160.65,145.52,0.0027,361.53,216.25,9.52,0.4815,0.6026,CENTER,4860,0.108,0.744,94.51,99
2025-09-25 18:34:00,480,0.2216,0.2692,0.2454,159.92,144.84,0.0029,361.41,216.77,9.56,0.4787,0.603,CENTER,4920,0.109,0.743,100.0,98
2025-09-25 18:34:01,495,0.2157,0.2442,0.23,166.45,150.52,0.0038,353.59,224.97,10.16,0.4718,0.5922,CENTER,5015,0.109,0.778,100.0,97
2025-09-25 18:34:01,510,0.2017,0.236,0.2188,170.32,152.32,0.0001,346.37,229.2,11.27,0.4589,0.5831,CENTER,5073,0.109,0.779,100.0,100
2025-09-25 18:34:02,525,0.2017,0.2425,0.2221,169.83,151.2,0.0007,345.7,227.45,11.63,0.4616,0.5844,CENTER,4984,0.109,0.791,100.0,100
2025-09-25 18:34:02,540,0.2216,0.2217,0.2217,164.7,148.78,0.0017,345.25,221.53,10.82,0.4602,0.5851,CENTER,5192,0.109,0.794,100.0,100
2025-09-25 18:34:03,555,0.2282,0.1947,0.2115,161.46,147.72,0.0008,342.34,218.48,9.35,0.4605,0.586,CENTER,5429,0.11,0.865,100.0,100
2025-09-25 18:34:04,570,0.2155,0.2161,0.2158,162.78,149.28,0.0027,345.46,223.9,9.54,0.4651,0.5915,CENTER,5133,0.108,0.862,100.0,100
2025-09-25 18:34:04,585,0.2176,0.195,0.2063,177.06,160.24,0.0132,330.2,243.32,9.1,0.4458,0.569,CENTER,5390,0.106,0.914,100.0,100
2025-09-25 18:34:05,600,0.2416,0.2417,0.2416,186.75,168.05,0.002,328.09,251.59,10.71,0.4411,0.5675,CENTER,5194,0.106,0.904,100.0,100
